,type,caption
0,Y-U-No, commercial y u no same volume as show!?
1,Y-U-No, ugly girl y u play hard to get when u already hard to want
2,Y-U-No, victoria y u no tell us your secret?!
3,Y-U-No, kony y u no take justin bieber 
4,Y-U-No, ted y u no tell us how you met their mother
5,Y-U-No, google y u no let me finish typing?
6,Y-U-No, universal remote y u no work on universe?
7,Y-U-No, internet y u no let me study      
8,Y-U-No, pink floyd y u no need no education?
9,Y-U-No, girl looking for prince charming  y u no check friend zone?!
10,Y-U-No, i held the door y u no say thank you
11,Y-U-No, team rocket y u no catch a different pikachu?
12,Y-U-No, forever alone! y u no find other forever alone?
13,Y-U-No, asians y u know?
14,Y-U-No, fox news y u no have news about foxes?
15,Bad-Luck-Brian, has a face only a mother can love has 2 dads
16,Bad-Luck-Brian, invents the time machine dad uses it to go back in time and put a condom on
17,Bad-Luck-Brian, creates imaginary girlfriend friend
18,Bad-Luck-Brian,  zombie apocalypse gets chased by usain bolt's zombie
19,Bad-Luck-Brian, plays offline bots start votekick
20,Bad-Luck-Brian, finds pill of immortality  chokes on it
21,Bad-Luck-Brian, tries to stealthly fart in class shits
22,Bad-Luck-Brian, self employed  gets fired
23,Bad-Luck-Brian, installs anti
24,Bad-Luck-Brian, uses lysol spray killed by 1% of germs
25,Bad-Luck-Brian, leaves door unlocked for santa  gets robbed
26,Bad-Luck-Brian, ringtone goes off at funeral another one bites the dust
27,Bad-Luck-Brian, finally finds something positive in life hiv
28,Bad-Luck-Brian, looks both ways before crossing the street  gets hit by a plane
29,Bad-Luck-Brian, throws banana in mario kart slips on it next lap
30,Willy-Wonka, oh age is just a number? well jail must just be a room
31,Willy-Wonka," oh you hate facebook? please, post another status all about it"
32,Willy-Wonka," oh, you post bible verses on facebook?.  you're definitely getting into heaven"
33,Willy-Wonka," you responded with ""your mom"" you must win arguements all the time."
34,Willy-Wonka, oh you got back together with your ex for the 3rd time it will probably work out this time
35,Willy-Wonka," oh, you were born in 1997? please tell me how much of a 90's kid you are."
36,Willy-Wonka, you liked a picture of a child with cancer? you must care loads about it
37,Willy-Wonka, immigrants are stealing our jobs? tell me more about how you've always wanted to be a taxi driver
38,Willy-Wonka, oh so u lost the love of ur life? being 11 must be so hard.
39,Willy-Wonka," oh, youre one of those hipsters? tell me about how unique you are."
40,Willy-Wonka, you're dropping out because bill gates did it? i'm sure you'll be just as successful
